,Founded,Company,Sector,Headquarters,Investors Name,Stage,Amount,Industry Vertical,Year,numberofinvestors
0,09-01-2020,BYJU’S,E-learning,bengaluru,Tiger Global Management,privateequityround,200000000,E-Tech,2020,1
1,13-01-2020,Shuttl,App based shuttle service,gurgaon,Susquehanna Growth Equity,seriesc,8048394,Transportation,2020,1
2,09-01-2020,Mamaearth,Retailer of baby and toddler products,bengaluru,Sequoia Capital India,seriesb,18358860,E-commerce,2020,1
3,02-01-2020,https://www.wealthbucket.in/,Online Investment,new delhi,Vinod Khatumal,pre-seriesa,3000000,FinTech,2020,1
4,02-01-2020,Fashor,Embroiled Clothes For Women,mumbai,Sprout Venture Partners,seedround,1800000,Fashion and Apparel,2020,1
5,13-01-2020,Pando,"Open-market, freight management platform",chennai,Chiratae Ventures,seriesa,9000000,Logistics,2020,1
6,10-01-2020,Zomato,Online Food Delivery Platform,gurgaon,Ant Financial,privateequityround,150000000,Hospitality,2020,1
7,12-12-2019,Ecozen,Agritech,pune,Sathguru Catalyzer Advisors,seriesa,6000000,Technology,2019,1
8,06-12-2019,CarDekho,Automobile,gurgaon,Ping An Global Voyager Fund,seriesd,70000000,E-Commerce,2019,1
9,03-12-2019,Dhruva,Satellite Communication,bengaluru,"Mumbai Angels, Ravikanth Reddy",seed,50000000,Aerospace,2019,1
10,13-12-2019,Rivigo,Logistics Services and Solutions,gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",seriesf,20000000,Technology,2019,1
11,17-12-2019,Healthi,Food Solutions For Corporate,bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",seriesc,12000000,B2B-focused foodtech startup,2019,1
12,16-12-2019,Licious,Online Meat And Seafood Ordering Startup,bengaluru,Vertex Growth Fund,seriese,30000000,E-Commerce,2019,1
13,14-12-2019,Trell,Experience Discovery Platform,bengaluru,Ruizheng Investment,seedround,2000000,Video,2019,1
14,11-12-2019,Rein Games,Real money based gaming startup,noida,Manipal Education and Medical Group (MEMG),seedround,50000000,Gaming,2019,1
15,20-12-2019,Lenskart,Online Eyewear Shopping Portal,faridabad,SoftBank Vision Fund,seriesg,231000000,E-Commerce,2019,1
16,14-11-2019,Misters,Men's Health and Wellness brand,gurgaon,"Sauce.vc, Rainforest Ventures",seriesb,486000,Health and wellness,2019,1
17,13-11-2019,Sunstone Eduversity,Elearning,gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",seed,1500000,Education,2019,1
18,18-11-2019,Healthi,Healthcare services,gurgaon,"DG Daiwa Ventures, DG Incubation",seriesb,12000000,Health and Wellness,2019,1
19,15-11-2019,Ninjacart,Agritech,bengaluru,Trifecta Capital Advisors,debtfunding,26000000,B2B Marketing,2019,1
20,20-11-2019,Fi,Financial Services To MSMEs,gurgaon,FinTech,debtfunding,17411265,FinTech,2019,1
21,12-11-2019,SuperGaming,Social gaming platform,pune,Dream Incubator,seedfunding,1300000,Video Games,2019,1
22,20-11-2019,Clumio,Recovery software,"san jose,","Altimeter Capital, Sutter Hill Ventures",seriesc,135000000,SaaS,2019,1
23,11-11-2019,eBikeGo,Electric bike rental,amritsar,Startup Buddy,seed,300000,Last Mile Transportation,2019,1
24,19-11-2019,Digit,Virtual e-commerce platform,delhi,Amour Infrastructure,seedfunding,220000000,E-Commerce,2019,1
25,18-11-2019,Medikabazaar,B2B platform for medical supplies,mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",seriesb,15800000,Healthcare,2019,1
26,15-11-2019,Vogo Automotive,Scooter sharing app,kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",seriesb,283000000,Last Mile Transportation,2019,1
27,25-11-2019,Paytm,Mobile Wallet,noida,Vijay Shekhar Sharma,fundinground,1000000000,FinTech,2019,1
28,04-10-2019,Dunzo,Delivery Service,bengaluru,Lightbox,seriesd,45000000,Customer Service,2019,1
29,02-10-2019,Udaan,Business development,bengaluru,"Altimeter Capital, DST Global",seriesd,585000000,B2B,2019,1
30,05-09-2019,FPL Technologies,Financial Services,pune,"Matrix Partners India, Sequoia India",maidenround,4500000,FinTech,2019,1
31,04-09-2019,Cashflo,Invoice discounting platform and SME lending marketplace,mumbai,SAIF Partners,seriesa,3300000,FinTech,2019,1
32,04-09-2019,Digit,Digital marketing firm,mumbai,TIW Private Equity,privateequityround,6000000,"Advertising, Marketing",2019,1
33,04-09-2019,3rdFlix,Education Technology,hyderabad,Exfinity Venture Partners,pre-seriesa,5000000,SaaS,2019,1
34,04-09-2019,75F,Building automation system,burnsville,Breakthrough Energy Ventures,seriesa,18000000,IoT,2019,1
35,04-09-2019,Myelin Foundry,Deep-technology,bengaluru,Endiya Partners,seed,1000000,Information Technology,2019,1
36,04-09-2019,Atomberg,"Consumer Electronics, Home Appliances",mumbai,A91 Partners,seriesa,10000000,Consumer Technology,2019,1
37,04-09-2019,GOQii,Wearable Fitness Bands,menlo park,Bennett Coleman and Company Ltd (BCCL),seriesc,450000000,Health and Wellness,2019,1
38,03-09-2019,Vyapar App,Mobile-based Accounting Software,bengaluru,"India Quotient, Axilor Ventures",seriesa,5000000,Accounting,2019,1
39,01-08-2019,CarDekho,Automotive,gurgaon,SC GG India Mobility Holdings LLC,seriesc,20000000,E-Commerce,2019,1
40,01-08-2019,Progcap,Supply Chain Management,new delhi,Sequoia India,seriesa,5000000,Finance,2019,1
41,01-08-2019,Alteria Capital,VC Funds,mumbai,"Azim Premji, Binny Bansal",singleventure,140000000,Finance,2019,1
42,01-08-2019,Pine Labs,Last-mile retail transaction technology,noida,Pine Labs Pte Ltd,corporateround,38080000,Information Technology,2019,1
43,12-08-2019,Meesho,Social Commerce,bengaluru,Naspers,seriesd,125000000,E-Commerce,2019,1
44,13-08-2019,Cars24,Car Retail,gurugram,MS Dhoni,seriesd,11000000,E-Commerce,2019,1
45,13-08-2019,Uniphore,Conversational AI,palo alto,March Capital Partners,seriesc,51000000,Customer Service Platform,2019,1
46,23-08-2019,Zendrive,Road Safety Analytics,san francisco,XL Innovate,seriesb,37000000,Automotive,2019,1
47,23-08-2019,Lo! Foods,Low carb food for Diabetics,bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",seedround,500000,Consumer Goods,2019,1
48,23-08-2019,Tala,Digital Lending Platform,santa monica,RPS Ventures,seriesd,110000000,FinTech,2019,1
49,22-08-2019,INDwealth,Wealth Management,gurgaon,Tiger Global Management,ventureround,15000000,FinTech,2019,1
50,21-08-2019,HungerBox,B2B Foodtech,bengaluru,One97 Communications Ltd.,seriesc,6590000,Food and Beverage,2019,1
51,23-08-2019,AdmitKard,University Admissions,noida,Growth DNA,seedround,1000000,EdTech,2019,1
52,19-08-2019,Grofers,Grocery Delivery,gurgaon,Softbank Vision Fund,seriesf,70000000,E-Commerce,2019,1
53,27-08-2019,Rapido,Bike Taxi,bengaluru,Westbridge Capital,seriesb,-394967296,Transportation,2019,1
54,02-07-2019,RenewBuy,Auto Insurance,gurgaon,"Lok Capital, IIFL Wealth",seriesb,19000000,Finance,2019,1
55,02-07-2019,Atlan,Big Data,singapore,WaterBridge Ventures,pre-seriesa,2500000,Information Technology,2019,1
56,01-07-2019,WizCounsel,Consulting,new delhi,Kapil Dev,angel,145000,Compliance,2019,1
57,03-07-2019,Ola,Cabs,kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",seriesj,1000000,Transport,2019,1
58,01-07-2019,Uniphore,Speech Recognition,taramani,March Capital Partners,seriesc,38080000,Artificial Intelligence,2019,1
59,04-07-2019,Daalchini Technologies,Digital Vending Machine,new delhi,Artha Venture,seedround,500000,Food and Beverage,2019,1
60,10-07-2019,"""BYJU\\'S""",Education,bengaluru,Qatar Investment Authority,privateequityround,150000000,EdTech,2019,1
61,11-07-2019,Moglix,Industrial Tools and Equipments,singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",seriesd,60000000,E-Commerce,2019,1
62,10-07-2019,Ezyhaul,Logistics,singapore,Undisclosed,seriesb,16000000,Tech,2019,1
63,10-07-2019,Indus OS,Smartphone Operating System,andheri,Ventureast,seriesb,5750000,Tech,2019,1
64,10-07-2019,HealthAssure,Primary care medical network,mumbai,Blume Ventures,seriesa,2500000,Health Care,2019,1
65,09-07-2019,House of Msasaba,Clothes and Apparel,mumbai,Binny Bansal,seriesa,1000000,Luxury Label,2019,1
66,08-07-2019,Board Infinity,Full-stack career platform,chembur,Multiple Angel Investors,angelround,319605,EdTech,2019,1
67,05-06-2019,NoBroker,Real Estate,bengaluru,General Atlantic,seriesc,51000000,E-Commerce,2019,1
68,04-06-2019,Bira91,Brewery,new delhi,Anicut Capital,debtfunding,10000000,Food and Beverage,2019,1
69,03-06-2019,Fi,FinTech,bengaluru,Matrix Partners,seriesa,9000000,Finance,2019,1
70,04-06-2019,BharatPe,FinTech,new delhi,Insight Partners,seriesb,75000000,Finance,2019,1
71,04-06-2019,Recykal,Optimization,hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-seriesa,26000000,Waste Management Service,2019,1
72,03-06-2019,Agara Labs,Artificial Intelligence,bengaluru,Blume Ventures and RTP Global,pre-seriesa,2500000,Deep-Tech,2019,1
73,06-06-2019,Chakr Innovation,Renewable Energy,new delhi,IAN Fund,seriesa,26000000,Energy,2019,1
74,06-06-2019,Pratilipi,E-Books,bengaluru,Qiming Venture Partners,seriesb,15109500,Digital Media,2019,1
75,10-06-2019,Bolo App,Video Platform,bengaluru,Nexus Venture Partners,seedfunding,430200,Digital Media,2019,1
76,10-06-2019,Cred,Financial Services,haryana,Tiger Global Management,seriesa,15500000,FinTech,2019,1
77,06-06-2019,Cred,Online Lending Platform,new york,WestBridge Capital,seriesb,52000000,FinTech,2019,1
78,08-06-2019,Vogo Automotive,Dockless Scooter Rental Company,karnataka,Alteria Capital,debtfunding,3584000,Transportation,2019,1
79,04-06-2019,Leegality,Digital Documentation,mumbai,Mumbai Angels,seriesa,3400000,Services,2019,1
80,06-05-2019,Saahas Zero Waste,Optimization,bengaluru,C4D Partners,venture-seriesunknown,868600,Waste Management Service,2019,1
81,01-05-2019,BlackBuck,Logistics,bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",seriesd,150000000,Transport,2019,1
82,02-05-2019,Zenoti,Beauty and Wellness Industry,hyderabad,Tiger Global Management,seriesc,50000000,Saas,2019,1
83,28-05-2019,Ather Energy,Electric Vehicle,bengaluru,Sachin Bansal,seriesc,51000000,Automobile,2019,1
84,28-05-2019,FreshVnF,Fresh Agriculture Produces,mumbai,Equanimity Ventures,seedround,140000000,Agtech,2019,1
85,30-05-2019,GlowRoad,Retail,bengaluru,"Korea Investment Partners, Vertex Ventures",seriesb,11500000,E-commerce,2019,1
86,31-05-2019,Bira91,Brewery,new delhi,Sixth Sense Ventures,seriesb,5600000,Food and Beverage,2019,1
87,16-04-2019,Kuvera,Wealth Management,bengaluru,Eight Roads,seriesa,45000000,Finance,2019,1
88,12-04-2019,Medlife,Online Medicine,bengaluru,Prasid Uno Family Trust,privateequity,17000000,E-commerce,2019,1
89,10-04-2019,Kabadiwala,Waste Management,bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",privateequity,430665,E-commerce,2019,1
90,13-04-2019,Tripoto,Travel,new delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",seriesb,3591375,Social Media,2019,1
91,12-04-2019,Azah,Organic wellness,gurugram,Unnamed angel investors,seedfunding,200000,Health and Wellness,2019,1
92,11-04-2019,Setu,Banking,bengaluru,Lightspeed India Partners,seedfunding,3500000,Fintech,2019,1
93,10-04-2019,Toppr,E-learning,mumbai,Milestone,debtandpreferencecapital,6320820,Edtech,2019,1
94,10-04-2019,Craftsvilla,Fashion and Apparel,mumbai,Supera Pte Ltd,inhousefunding,2443495,E-commerce,2019,1
95,10-04-2019,Unacademy,E-learning,bengaluru,Kalyan Krishnamurthy,seed/angelfunding,307000,Edtech,2019,1
96,11-04-2019,CleverTap,Mobile analytics and marketing,mumbai,"Sequoia India, Tiger Global Management, Accel Partners",seriesb,26000000,SaaS,2019,1
97,19-04-2019,My Healthcare,Software Solutions,bengaluru and gurugram,Sixth Sense Ventures,seriesa,3000000,E-commerce,2019,1
98,19-04-2019,KrazyBee,Lending Platform,bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",debt,14342000,E-commerce,2019,1
99,17-04-2019,Shuttl,Bus Aggregation,gurugram,New Atlantic Ventures,ventureround,5000000,Transportation,2019,1
100,17-04-2019,Increff,Supply-chain technology solutions,bengaluru,"021 Capita, Binny Bansal",seriesa,3000000,Technology,2019,1
101,08-02-2019,Zilingo,Fashion & Apparel,india,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",seriesd,226000000,Ecommerce,2019,1
102,13-02-2019,NanoClean Global,Anti-Pollution,new delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",seriesa,600000,Nanotechnology,2019,1
103,14-02-2018,Oyo,Budget Rooms,gurgaon,DiDi Chuxing,equity,100000000,Hospitality,2018,1
104,03-01-2019,CarDekho,Online Marketplace,jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",seriesc,110000000,Automobile,2019,1
105,04-01-2019,Vyome Therapeutics Inc.,Specialty pharmaceutical,india,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",seriesd,22000000,Health and Wellness,2019,1
106,04-01-2019,Samunnati,Non-banking financial company,chennai,"MASSIF, a Dutch government fund",debt-funding,5000000,Finance,2019,1
107,04-12-2018,Manch,Hyperlocal Content,delhi,Stellaris Venture Partners,seedfunding,700000,Social Media,2018,1
108,01-12-2018,UrbanClap,Home services marketplace,new delhi,Steadview Capital and Vy Capital.,seriesd,50000000,Services Platform,2018,1
109,02-12-2018,Guiddoo,Platform for travel agents,mumbai,Individual Investors,pre-seriesa,800000,Travel Tech,2018,1
110,02-12-2018,Career Anna,"Video-based certification, trainings",gurugram,Individual Investors,pre-seriesa,572000,Online Education,2018,1
111,04-12-2018,Nagpur Wholesale,eCommerce,nagpur,Omphalos Ventures India LLP,seedfunding,143000,Online Marketplace,2018,1
112,06-12-2018,ShopKirana,eCommerce,indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",seedfunding,2000000,B2B,2018,1
113,06-12-2018,BuildSupply,"Real Estate, ERP",gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",seriesa,3500000,"SaaS, Ecommerce",2018,1
114,01-11-2018,GoDesi,Regional Flavours,bengaluru,Lead Angels Network,seed/angelfunding,138995,Food and Beverage,2018,1
115,03-11-2018,Fi,MSME Finance,chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",seriesd,27799000,NBFC,2018,1
116,06-11-2018,Meesho,Social Commerce,bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",seriesc,50000000,Ecommerce,2018,1
117,08-11-2018,Mobile Premier League,Mobile e-Sports,bengaluru,Undisclosed,seriesa,500000,Gaming,2018,1
118,08-11-2018,A&R Bon Vivants,Meat Retail Chain,jaipur,"RB Investments, Singapore",equity,1000000,Food,2018,1
119,12-11-2018,Blackbuck,POS For Online Ordering,"new york, bengaluru",Tiger Global,seriesa,1000000,Food Tech,2018,1
120,12-11-2018,MilkBAsket,Micro-delivery grocery service,new delhi,Mayfield Fund,seriesb,1300000,Food,2018,1
121,13-11-2018,DriveU,On-Demand Drivers,bengaluru,Stevens Creek Ventures,mezzanine,1000000,Transport,2018,1
122,14-11-2018,CleanseCar,Car Wash,bengaluru,Venture Catalysts,seed/angelfunding,500000,Services,2018,1
123,19-11-2018,Automation Anywhere,Robotics,california,SoftBank Vision Fund,seriesb,300000000,Automation,2018,1
124,20-11-2018,Healthi,Wellness Coach,bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",seriesb(extension),6000000,Health and Wellness,2018,1
125,21-11-2018,Genius Corner,Personalized Learning,noida,Individual investors,seedfunding,278000,Education,2018,1
126,22-11-2018,Aavishkaar-Intellecap Group,SME Funding,mumbai,Teachers Insurance and Annuity Association (TIAA),equitybasedfunding,31000000,Investment,2018,1
127,23-11-2018,Signzy,Digital Onboarding Solution,mumbai,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",seriesa,3400000,Financial Tech,2018,1
128,24-11-2018,Engineer.ai,AI Platform,india,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",seriesa,29500000,Software,2018,1
129,25-11-2018,Fi,SME Lending,india,"Paragon Partners, Individual Investors",privateequity,42000000,Finance,2018,1
130,25-11-2018,Roposo,Video Sharing,delhi,Bertelsmann India Investments,seriesb,1700000,Social Media,2018,1
131,02-10-2018,Origo,Supply Chain,hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",seed/angelfunding,11000000,Logistics,2018,1
132,04-10-2018,Grover Zampa,Wine,mumbai,Ravi Viswanathan,privateequity,8200000,Food,2018,1
133,05-10-2018,Droom,New and Used Cars Platform,gurgaon,ZigExN,seriese,3000000,Automobile,2018,1
134,11-10-2018,Innov8,Co-Working,new delhi,Credence Family Office,pre-seriesa,4000000,Real Estate,2018,1
135,12-10-2018,Blackbuck,Largest Trucking Platform,bengaluru,Sequoia Capital India,privatefunding,14680000,Logistics Tech,2018,1
136,12-10-2018,LetsTransport,Book Trucks Online,bengaluru,Fosun International,seriesc,12000000,Logistics Tech,2018,1
137,01-09-2018,Netmeds,Online Pharmacy Chain,chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",privateequity,35000000,Consumer Internet,2018,1
138,03-09-2018,Udaan,Logistics and Shipping,bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,privateequity,225000000,B2B Platform,2018,1
139,03-09-2018,Daily hunt,News and ebooks Mobile App\\xc2\\xa0,bengaluru,Falcon Edge,privateequity,6390000,Consumer Internet,2018,1
140,04-09-2018,3HCare,Healthcare Service Provider,delhi,None,seed/angelfunding,1000000,Healthcare,2018,1
141,05-09-2018,Nykaa,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,mumbai,Lighthouse,privateequity,157200000,Consumer Internet,2018,1
142,06-09-2018,Dream11,Online Gaming Platform,mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",privateequity,100000000,Consumer Internet,2018,1
143,10-09-2018,MamaEarth,Online Marketplace For Mother and Babycare Products,gurugram,Stellaris Ventures & Others,privateequity,4000000,Healthcare,2018,1
144,11-09-2018,AutoGrid,AI-Based Energy Optimisation and Control Provider,bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",privateequity,32000000,Technology,2018,1
145,11-09-2018,Pharmeasy,Online Marketplace For Pharmaceutical Products,mumbai,InnoVen Capital,debtfunding,5500000,Consumer Internet,2018,1
146,11-09-2018,Upwards,Online Micro Lending Marketplace,mumbai,"Shunwei Capital,Quotient, Mayfield & Others",privateequity,5000000,Fin-Tech,2018,1
147,12-09-2018,Kissht,Online lending Platform,mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",privateequity,30000000,Fin-Tech,2018,1
148,01-08-2018,dishq,Personalisation Technology Firm Focusing On The Food And Beverage Industry,bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",seed/angelfunding,400000,Food-Tech,2018,1
149,02-08-2018,Samosa Labs,Social Media and Chat Entertainment Platform,hyderabad,Xiaomi and Sequoia Capital India,privateequity,7000000,Consumer Internet,2018,1
150,03-08-2018,ZiffyHomes,Online Home Rental Marketplace,gurugram,Y Combinator,privateequity,120000,Consumer Internet,2018,1
151,07-08-2018,My OmNamo,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,mumbai,None,seed/angelfunding,1000000,Consumer Internet,2018,1
152,07-08-2018,ShopX,Assisted E-commerce Platform,bengaluru,Fung Strategic Holdings,privateequity,35000000,Consumer Internet,2018,1
153,07-08-2018,MakeMyTrip,Online Travel Aggregator,gurugram,MakeMyTrip Limited,privateequity,10000000,Consumer Internet,2018,1
154,08-08-2018,Hansel.io,Real-time Mobile App Management,bengaluru,Vertex Ventures,seed/angelfunding,4000000,Consumer Internet,2018,1
155,08-08-2018,Metro Bikes,Online Bike Rental Marketplace,bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",privateequity,12200000,Consumer Internet,2018,1
156,08-08-2018,Phone Pe,UPI Payments App,bengaluru,Flipkart,privateequity,66000000,Consumer Internet,2018,1
157,09-08-2018,quizizz,e-learning Platform,bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",seed/angelfunding,3000000,Ed-Tech,2018,1
158,09-08-2018,Happy EMI,Consumer Financing Platform,bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),seed/angelfunding,1000000,Fin-Tech,2018,1
159,13-08-2018,Inthree,Rural E-commerce Platform,chennai,"Ventureast, Orios Venture Partners and the IAN Fund",seed/angelfunding,4000000,Consumer Internet,2018,1
160,13-08-2018,Observe AI,AI Based Solutions Platform,bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",privateequity,8000000,Technology,2018,1
161,16-08-2018,Enakshi,AI Based Solutions Platform,ahemadabad,None,seed/angelfunding,114811,Consumer Internet,2018,1
162,17-08-2018,EazyDiner,Online Restaurant Table Reservation Platform,gurugram,Denlow Investment Trust and Beenext,privateequity,5850000,Consumer Internet,2018,1
163,20-08-2018,Fi,Online Loan Matchmaking Platform,bengaluru,None,seed/angelfunding,1000000,Finance,2018,1
164,20-08-2018,RawPressery,Online Organic Juice Delivery Service,mumbai,Alteria Capital,debtfunding,4800000,Consumer Internet,2018,1
165,22-08-2018,Pi Ventures,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,bengaluru,CDC Group plc\\xc2\\xa0,privateequity,6000000,Technology,2018,1
166,22-08-2018,Revv,Online Indian Car Rental Platform,gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",privateequity,14270000,Consumer Internet,2018,1
167,26-08-2018,ZestMoney,Online Lending Platform,bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",privateequity,13400000,Consumer Internet,2018,1
168,26-08-2018,Shubh Loans,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",privateequity,4200000,Fin-Tech,2018,1
169,27-08-2018,MyUpchar,Local Language Health Content App,delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",privateequity,5000000,Healthcare,2018,1
170,28-08-2018,Narvar,Post-Purchase Customer Engagement Platform\\xc2\\xa0,bengaluru,Accel (formerly known as Accel Partners),privateequity,3000000,IT,2018,1
171,30-08-2018,True North,Private Equity Firm,mumbai,None,privateequity,600000000,Finance,2018,1
172,02-07-2018,Biryani By Kilo,Online Food Delivery,gurugram,Ajay Relan and Vinay Mittal,seed/angelfunding,1000000,Consumer Internet,2018,1
173,04-07-2018,Anchanto,E-commerce Fulfilment Platform,pune,MDI Ventures & Telkom Indonesia,privateequity,4000000,IT,2018,1
174,2018,Loan Tap,Online Lending Platform For Salaried Professionals,mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",privateequity,6250000,Consumer Internet,1905,1
175,06-07-2018,PolicyBazaar,Online Insurance Selling Platform,gurugram,Info Edge (India) Ltd and Temasek,privateequity,27700000,Consumer Internet,2018,1
176,09-07-2018,zippserv,Online Platform For Risk-Assessment Services For Real Estate Investments,bengaluru,Info Edge (India) Ltd,seed/angelfunding,440000,Consumer Internet,2018,1
177,09-07-2018,Groww,Online Platform That Sells Direct Plans Of Mutual Funds,bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",seed/angelfunding,1100000,Consumer Internet,2018,1
178,10-07-2018,Avenue Growth,Online Platform That Connects Brands With Freelance Sales Professionals,gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",seed/angelfunding,437000,Consumer Internet,2018,1
179,10-07-2018,Kinara Capital,Lending Platform For Micro and Small Enterprises,bengaluru,ResponsAbility,privateequity,5000000,Finance,2018,1
180,10-07-2018,Shop 101,Mobile Storefront And Commerce Platform For Sellers,mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",privateequity,5000000,Consumer Internet,2018,1
181,11-07-2018,Sambandh,Online Micro Lending Platform,rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,privateequity,2500000,Consumer Internet,2018,1
182,12-07-2018,19th mile,Artificial intelligence-based sales acceleration software platform,gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",seed/angelfunding,180000,IT,2018,1
183,12-07-2018,Vital,Home diagnostics services provider,bengaluru,Brand Capital and Others,seed/angelfunding,500000,Healthcare,2018,1
184,13-07-2018,MEngage,A Doctor-Patient Engagement Platform,jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",seed/angelfunding,175000,Healthcare,2018,1
185,17-07-2018,Ofbusiness,Online Lending Platform For SME,gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",privateequity,29000000,Finance,2018,1
186,17-07-2018,Cars24,Online Used Car Marketplace,gurugram,"Kingsway FCI Fund, KCK Global & Others",privateequity,49700000,Consumer Internet,2018,1
187,18-07-2018,The Ken,Subscription-Only News Website,bengaluru,Omidyar Network & Others,seed/angelfunding,1500000,Consumer Internet,2018,1
188,19-07-2018,Book My Show,Online Ticketing Platform,mumbai,"TPG Growth, The Rise Fund & Others",privateequity,100000000,Consumer Internet,2018,1
189,20-07-2018,HousingMan,Property Discovery Platform,bengaluru,None,seed/angelfunding,1500000,Consumer Internet,2018,1
190,21-07-2018,PaySense,Online Consumer Lending Platform,mumbai,PayU & Others,privateequity,18000000,Consumer Internet,2018,1
191,23-07-2018,VTION,Media Analytics,gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",seed/angelfunding,280000,Technology,2018,1
192,23-07-2018,Log9 Materials,Nanotechnology Company Specializing In Graphene,bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",seed/angelfunding,436000,Technology,2018,1
193,24-07-2018,kidovators,Skill Learning Platform,bengaluru,Gray Matters,seed/angelfunding,180000,Ed-Tech,2018,1
194,24-07-2018,Digit,Online Insurance Startup,pune,Fairfax,privateequity,45000000,Consumer Internet,2018,1
195,25-07-2018,Black Soil,Non-Banking Financial Company,mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",privateequity,17000000,Finance,2018,1
196,25-07-2018,Trell,Mobile-First Video Blogging App,bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",seed/angelfunding,1250000,Consumer Internet,2018,1
197,25-07-2018,iqlect,Data Analytics Firm,bengaluru,Ventureast and Exfinity,seed/angelfunding,2500000,Technology,2018,1
